country,country_code,year,percentile,adults_above_pct,income_local,ppp_eur_factor_lcu_per_eur,income_eur_ppa,data_quality
España,ES,2024,0,100,0.0,0.869603157043457,0.0,1
España,ES,2024,1,99,7681.200000000001,0.869603157043457,8832.994611145536,1
España,ES,2024,2,98,7781.6,0.869603157043457,8948.449573776245,1
España,ES,2024,3,97,7836.700000000001,0.869603157043457,9011.811809243896,1
España,ES,2024,4,96,7901.3,0.869603157043457,9086.098568068039,1
España,ES,2024,5,95,8011.400000000001,0.869603157043457,9212.708044020641,1
España,ES,2024,6,94,8225.9,0.869603157043457,9459.372281911947,1
España,ES,2024,7,93,8695.300000000001,0.869603157043457,9999.158730705329,1
España,ES,2024,8,92,9346.2,0.869603157043457,10747.661073099047,1
España,ES,2024,9,91,10058.8,0.869603157043457,11567.11531981861,1
España,ES,2024,10,90,10833.0,0.869603157043457,12457.406475881318,1
España,ES,2024,11,89,11590.8,0.869603157043457,13328.83845478124,1
España,ES,2024,12,88,12308.1,0.869603157043457,14153.6974656877,1
España,ES,2024,13,87,13038.7,0.869603157043457,14993.850809293246,1
España,ES,2024,14,86,13782.3,0.869603157043457,15848.95350064978,1
España,ES,2024,15,85,14538.7,0.869603157043457,16718.775549791906,1
España,ES,2024,16,84,15301.0,0.869603157043457,17595.382302913324,1
España,ES,2024,17,83,16068.9,0.869603157043457,18478.42877506594,1
España,ES,2024,18,82,16848.5,0.869603157043457,19374.92966019444,1
España,ES,2024,19,81,17639.6,0.869603157043457,20284.65496833343,1
España,ES,2024,20,80,18231.3,0.869603157043457,20965.080280968803,1
España,ES,2024,21,79,18520.9,0.869603157043457,21298.105750867748,1
España,ES,2024,22,78,18952.3,0.869603157043457,21794.194106235158,1
España,ES,2024,23,77,19598.4,0.869603157043457,22537.176689459284,1
España,ES,2024,24,76,20058.9,0.869603157043457,23066.728584792374,1
España,ES,2024,25,75,20331.4,0.869603157043457,23380.08991264963,1
España,ES,2024,26,74,20479.7,0.869603157043457,23550.627471993597,1
España,ES,2024,27,73,20606.5,0.869603157043457,23696.441110057083,1
España,ES,2024,28,72,20772.4,0.869603157043457,23887.217786356236,1
España,ES,2024,29,71,20838.9,0.869603157043457,23963.689449851678,1
España,ES,2024,30,70,20936.4,0.869603157043457,24075.80955798409,1
España,ES,2024,31,69,21074.3,0.869603157043457,24234.387639127264,1
España,ES,2024,32,68,21170.1,0.869603157043457,24344.552832553778,1
España,ES,2024,33,67,21365.6,0.869603157043457,24569.368023732102,1
España,ES,2024,34,66,21825.9,0.869603157043457,25098.689929099794,1
España,ES,2024,35,65,22303.5,0.869603157043457,25647.905966474566,1
España,ES,2024,36,64,22677.8,0.869603157043457,26078.33218672033,1
España,ES,2024,37,63,23113.5,0.869603157043457,26579.365326343843,1
España,ES,2024,38,62,23396.5,0.869603157043457,26904.801127384588,1
España,ES,2024,39,61,23728.6,0.869603157043457,27286.69946493099,1
España,ES,2024,40,60,24321.3,0.869603157043457,27968.27472739336,1
España,ES,2024,41,59,24894.4,0.869603157043457,28627.310973246553,1
España,ES,2024,42,58,25255.4,0.869603157043457,29042.442860793228,1
España,ES,2024,43,57,25559.6,0.869603157043457,29392.257598166354,1
España,ES,2024,44,56,25775.9,0.869603157043457,29640.99174574626,1
España,ES,2024,45,55,26014.6,0.869603157043457,29915.484769450948,1
España,ES,2024,46,54,26487.2,0.869603157043457,30458.951057690727,1
España,ES,2024,47,53,26917.0,0.869603157043457,30953.19949333494,1
España,ES,2024,48,52,27259.9,0.869603157043457,31347.517289012936,1
España,ES,2024,49,51,27637.8,0.869603157043457,31782.083328635897,1
España,ES,2024,50,50,28158.1,0.869603157043457,32380.402223623532,1
España,ES,2024,51,49,28667.4,0.869603157043457,32966.07167051418,1
España,ES,2024,52,48,29054.9,0.869603157043457,33411.677228476336,1
España,ES,2024,53,47,29494.9,0.869603157043457,33917.65515235594,1
España,ES,2024,54,46,29835.4,0.869603157043457,34309.213068449135,1
España,ES,2024,55,45,30075.0,0.869603157043457,34584.74104699812,1
España,ES,2024,56,44,30301.4,0.869603157043457,34845.08968783072,1
España,ES,2024,57,43,30391.4,0.869603157043457,34948.58517226064,1
España,ES,2024,58,42,30417.8,0.869603157043457,34978.943847693416,1
España,ES,2024,59,41,30598.2,0.869603157043457,35186.394796484055,1
España,ES,2024,60,40,30862.2,0.869603157043457,35489.98155081182,1
España,ES,2024,61,39,31181.7,0.869603157043457,35857.39052053803,1
España,ES,2024,62,38,31694.6,0.869603157043457,36447.19978680587,1
España,ES,2024,63,37,32130.0,0.869603157043457,36947.88794148128,1
España,ES,2024,64,36,32360.7,0.869603157043457,37213.181366569974,1
España,ES,2024,65,35,32588.8,0.869603157043457,37475.48492210847,1
España,ES,2024,66,34,33108.5,0.869603157043457,38073.11384719991,1
España,ES,2024,67,33,33801.7,0.869603157043457,38870.259067275685,1
España,ES,2024,68,32,34433.1,0.869603157043457,39596.33738804292,1
España,ES,2024,69,31,34829.9,0.869603157043457,40052.63747939617,1
España,ES,2024,70,30,35126.5,0.869603157043457,40393.7125980841,1
España,ES,2024,71,29,35586.8,0.869603157043457,40923.034503451796,1
España,ES,2024,72,28,36080.9,0.869603157043457,41491.224712972056,1
España,ES,2024,73,27,36468.6,0.869603157043457,41937.060260899605,1
España,ES,2024,74,26,36902.1,0.869603157043457,42435.56351090372,1
España,ES,2024,75,25,37446.9,0.869603157043457,43062.05617665283,1
España,ES,2024,76,24,37945.4,0.869603157043457,43635.30616541189,1
España,ES,2024,77,23,38461.0,0.869603157043457,44228.220296212625,1
España,ES,2024,78,22,39123.5,0.869603157043457,44990.062056599534,1
España,ES,2024,79,21,39942.8,0.869603157043457,45932.2159498599,1
España,ES,2024,80,20,40626.3,0.869603157043457,46718.206656613795,1
España,ES,2024,81,19,41152.4,0.869603157043457,47323.19526059802,1
España,ES,2024,82,18,41766.10000000001,0.869603157043457,48028.91946942738,1
España,ES,2024,83,17,42479.0,0.869603157043457,48848.71870109503,1
España,ES,2024,84,16,43237.10000000001,0.869603157043457,49720.49566494307,1
España,ES,2024,85,15,43831.4,0.869603157043457,50403.91084712862,1
España,ES,2024,86,14,44316.10000000001,0.869603157043457,50961.291528275106,1
España,ES,2024,87,13,45222.7,0.869603157043457,52003.83604143248,1
España,ES,2024,88,12,46345.7,0.869603157043457,53295.22969715247,1
España,ES,2024,89,11,47890.0,0.869603157043457,55071.097214987196,1
España,ES,2024,90,10,49804.0,0.869603157043457,57272.10118386349,1
España,ES,2024,91,9,51658.0,0.869603157043457,59404.108163119825,1
España,ES,2024,92,8,53843.0,0.869603157043457,61916.74853511288,1
España,ES,2024,93,7,56548.60000000001,0.869603157043457,65028.05278704167,1
España,ES,2024,94,6,60009.2,0.869603157043457,69007.56915835476,1
España,ES,2024,95,5,64631.5,0.869603157043457,74322.98224369274,1
España,ES,2024,96,4,71030.40000000001,0.869603157043457,81681.39619167733,1
España,ES,2024,97,3,80925.8,0.869603157043457,93060.60970976428,1
España,ES,2024,98,2,99753.40000000001,0.869603157043457,114711.40507257266,1
España,ES,2024,99,1,125222.1,0.869603157043457,143999.13223146478,1
Francia,FR,2024,0,100,0.0,1.002631187438965,0.0,4
Francia,FR,2024,1,99,17786.8,1.002631187438965,17740.12241274189,4
Francia,FR,2024,2,98,17893.0,1.002631187438965,17846.043713944648,4
Francia,FR,2024,3,97,18060.8,1.002631187438965,18013.40335934787,4
Francia,FR,2024,4,96,18237.0,1.002631187438965,18189.140960778434,4
Francia,FR,2024,5,95,18343.1,1.002631187438965,18294.962524409435,4
Francia,FR,2024,6,94,18485.5,1.002631187438965,18436.988826587145,4
Francia,FR,2024,7,93,18744.2,1.002631187438965,18695.009924714763,4
Francia,FR,2024,8,92,19248.7,1.002631187438965,19198.185974213735,4
Francia,FR,2024,9,91,20009.7,1.002631187438965,19957.188895261734,4
Francia,FR,2024,10,90,20884.8,1.002631187438965,20829.992385681056,4
Francia,FR,2024,11,89,21731.1,1.002631187438965,21674.071455435227,4
Francia,FR,2024,12,88,22504.7,1.002631187438965,22445.641310524235,4
Francia,FR,2024,13,87,23304.3,1.002631187438965,23243.14293426928,4
Francia,FR,2024,14,86,24130.1,1.002631187438965,24066.775801813877,4
Francia,FR,2024,15,85,24981.7,1.002631187438965,24916.14096287101,4
Francia,FR,2024,16,84,25805.6,1.002631187438965,25737.878816552282,4
Francia,FR,2024,17,83,26601.6,1.002631187438965,26531.789887714185,4
Francia,FR,2024,18,82,27422.9,1.002631187438965,27350.934564529856,4
Francia,FR,2024,19,81,28269.5,1.002631187438965,28195.312846999284,4
Francia,FR,2024,20,80,28886.6,1.002631187438965,28810.793402293268,4
Francia,FR,2024,21,79,29191.5,1.002631187438965,29114.89325857124,4
Francia,FR,2024,22,78,29397.4,1.002631187438965,29320.25291881274,4
Francia,FR,2024,23,77,29556.3,1.002631187438965,29478.73592032986,4
Francia,FR,2024,24,76,29688.5,1.002631187438965,29610.58899018866,4
Francia,FR,2024,25,75,29813.0,1.002631187438965,29734.762267022397,4
Francia,FR,2024,26,74,30059.3,1.002631187438965,29980.415906252518,4
Francia,FR,2024,27,73,30441.2,1.002631187438965,30361.313692781077,4
Francia,FR,2024,28,72,30855.7,1.002631187438965,30774.725927701442,4
Francia,FR,2024,29,71,31308.4,1.002631187438965,31226.237915031834,4
Francia,FR,2024,30,70,31798.8,1.002631187438965,31715.350966913487,4
Francia,FR,2024,31,69,32303.2,1.002631187438965,32218.427278840707,4
Francia,FR,2024,32,68,32811.0,1.002631187438965,32724.89466820756,4
Francia,FR,2024,33,67,33328.5,1.002631187438965,33241.03660203455,4
Francia,FR,2024,34,66,33846.4,1.002631187438965,33757.577486148555,4
Francia,FR,2024,35,65,34356.0,1.002631187438965,34265.84015180698,4
Francia,FR,2024,36,64,34710.6,1.002631187438965,34619.50958124669,4
Francia,FR,2024,37,63,34939.1,1.002631187438965,34847.4099327046,4
Francia,FR,2024,38,62,35385.8,1.002631187438965,35292.937665729754,4
Francia,FR,2024,39,61,36040.3,1.002631187438965,35945.72007285974,4
Francia,FR,2024,40,60,36685.3,1.002631187438965,36589.027410673094,4
Francia,FR,2024,41,59,37289.3,1.002631187438965,37191.4423440673,4
Francia,FR,2024,42,58,37835.3,1.002631187438965,37736.00948584418,4
Francia,FR,2024,43,57,38148.0,1.002631187438965,38047.88887271896,4
Francia,FR,2024,44,56,38214.1,1.002631187438965,38113.81540764836,4
Francia,FR,2024,45,55,38244.0,1.002631187438965,38143.63694160281,4
Francia,FR,2024,46,54,38495.6,1.002631187438965,38394.576672135896,4
Francia,FR,2024,47,53,38948.0,1.002631187438965,38845.78944675103,4
Francia,FR,2024,48,52,39411.0,1.002631187438965,39307.57440397208,4
Francia,FR,2024,49,51,39901.5,1.002631187438965,39796.787193425494,4
Francia,FR,2024,50,50,40423.4,1.002631187438965,40317.31758040966,4
Francia,FR,2024,51,49,40985.10000000001,1.002631187438965,40877.543520951935,4
Francia,FR,2024,52,48,41600.5,1.002631187438965,41491.32853752609,4
Francia,FR,2024,53,47,42267.0,1.002631187438965,42156.07945326655,4
Francia,FR,2024,54,46,42999.3,1.002631187438965,42886.457691221156,4
Francia,FR,2024,55,45,43784.5,1.002631187438965,43669.59710463362,4
Francia,FR,2024,56,44,44439.3,1.002631187438965,44322.67872447887,4
Francia,FR,2024,57,43,44963.7,1.002631187438965,44845.70255075688,4
Francia,FR,2024,58,42,45491.8,1.002631187438965,45372.416667189806,4
Francia,FR,2024,59,41,46009.0,1.002631187438965,45888.25938830153,4
Francia,FR,2024,60,40,46441.7,1.002631187438965,46319.82386128112,4
Francia,FR,2024,61,39,46773.9,1.002631187438965,46651.15207464794,4
Francia,FR,2024,62,38,47083.60000000001,1.002631187438965,46960.039334370114,4
Francia,FR,2024,63,37,47399.3,1.002631187438965,47274.91084839751,4
Francia,FR,2024,64,36,47724.4,1.002631187438965,47599.157694169786,4
Francia,FR,2024,65,35,48078.3,1.002631187438965,47952.12896060722,4
Francia,FR,2024,66,34,48551.3,1.002631187438965,48423.88767500368,4
Francia,FR,2024,67,33,49131.5,1.002631187438965,49002.56506632043,4
Francia,FR,2024,68,32,49733.4,1.002631187438965,49602.885510707805,4
Francia,FR,2024,69,31,50357.5,1.002631187438965,50225.34769602457,4
Francia,FR,2024,70,30,51004.8,1.002631187438965,50870.948997988264,4
Francia,FR,2024,71,29,51677.10000000001,1.002631187438965,51541.484692890466,4
Francia,FR,2024,72,28,52362.7,1.002631187438965,52225.285484835935,4
Francia,FR,2024,73,27,52969.4,1.002631187438965,52830.3933326675,4
Francia,FR,2024,74,26,53486.8,1.002631187438965,53346.43552892274,4
Francia,FR,2024,75,25,54003.4,1.002631187438965,53861.67982460395,4
Francia,FR,2024,76,24,54470.7,1.002631187438965,54327.75349741042,4
Francia,FR,2024,77,23,54887.8,1.002631187438965,54743.7589091964,4
Francia,FR,2024,78,22,55316.10000000001,1.002631187438965,55170.93492901882,4
Francia,FR,2024,79,21,55685.2,1.002631187438965,55539.066306362845,4
Francia,FR,2024,80,20,55980.2,1.002631187438965,55833.29214303717,4
Francia,FR,2024,81,19,56340.2,1.002631187438965,56192.3474013516,4
Francia,FR,2024,82,18,57239.2,1.002631187438965,57088.98817142013,4
Francia,FR,2024,83,17,58712.10000000001,1.002631187438965,58558.02286578493,4
Francia,FR,2024,84,16,60322.60000000001,1.002631187438965,60164.296458883226,4
Francia,FR,2024,85,15,61994.4,1.002631187438965,61831.70918346672,4
Francia,FR,2024,86,14,63656.8,1.002631187438965,63489.746576305355,4
Francia,FR,2024,87,13,64591.8,1.002631187438965,64422.292872205326,4
Francia,FR,2024,88,12,64961.4,1.002631187438965,64790.92293740814,4
Francia,FR,2024,89,11,65731.5,1.002631187438965,65559.00197748575,4
Francia,FR,2024,90,10,66924.7,1.002631187438965,66749.07068365457,4
Francia,FR,2024,91,9,68404.1,1.002631187438965,68224.58832018338,4
Francia,FR,2024,92,8,69743.90000000001,1.002631187438965,69560.87230654358,4
Francia,FR,2024,93,7,70861.7,1.002631187438965,70675.73888360987,4
Francia,FR,2024,94,6,73067.7,1.002631187438965,72875.94971650328,4
Francia,FR,2024,95,5,80852.0,1.002631187438965,80639.82151455052,4
Francia,FR,2024,96,4,93255.1,1.002631187438965,93010.3722767719,4
Francia,FR,2024,97,3,101584.0,1.002631187438965,101317.41489059146,4
Francia,FR,2024,98,2,115474.1,1.002631187438965,115171.06334479494,4
Francia,FR,2024,99,1,142900.1,1.002631187438965,142525.08977404915,4
Reino Unido,GB,2024,0,100,0.0,1.004863619804382,0.0,1
Reino Unido,GB,2024,1,99,15012.9,1.004863619804382,14940.236370506256,1
Reino Unido,GB,2024,2,98,15024.7,1.004863619804382,14951.979257568182,1
Reino Unido,GB,2024,3,97,15036.5,1.004863619804382,14963.722144630106,1
Reino Unido,GB,2024,4,96,15048.3,1.004863619804382,14975.46503169203,1
Reino Unido,GB,2024,5,95,15193.7,1.004863619804382,15120.161284133039,1
Reino Unido,GB,2024,6,94,15705.6,1.004863619804382,15629.583647438074,1
Reino Unido,GB,2024,7,93,16502.9,1.004863619804382,16423.024652054413,1
Reino Unido,GB,2024,8,92,17405.6,1.004863619804382,17321.355512291673,1
Reino Unido,GB,2024,9,91,18413.0,1.004863619804382,18323.879616205508,1
Reino Unido,GB,2024,10,90,19525.2,1.004863619804382,19430.696479787966,1
Reino Unido,GB,2024,11,89,20603.8,1.004863619804382,20504.07597004155,1
Reino Unido,GB,2024,12,88,21606.5,1.004863619804382,21501.922822329027,1
Reino Unido,GB,2024,13,87,22628.8,1.004863619804382,22519.27480905834,1
Reino Unido,GB,2024,14,86,23671.1,1.004863619804382,23556.5299941977,1
Reino Unido,GB,2024,15,85,24734.0,1.004863619804382,24614.2854736994,1
Reino Unido,GB,2024,16,84,25732.8,1.004863619804382,25608.251202296917,1
Reino Unido,GB,2024,17,83,26668.6,1.004863619804382,26539.5218559028,1
Reino Unido,GB,2024,18,82,27626.5,1.004863619804382,27492.78554375178,1
Reino Unido,GB,2024,19,81,28607.1,1.004863619804382,28468.639361796155,1
Reino Unido,GB,2024,20,80,29350.4,1.004863619804382,29208.341730705382,1
Reino Unido,GB,2024,21,79,29772.6,1.004863619804382,29628.498249141376,1
Reino Unido,GB,2024,22,78,30078.8,1.004863619804382,29933.216216799123,1
Reino Unido,GB,2024,23,77,30299.4,1.004863619804382,30152.748495261894,1
Reino Unido,GB,2024,24,76,30562.7,1.004863619804382,30414.7741023301,1
Reino Unido,GB,2024,25,75,30905.7,1.004863619804382,30756.113955062327,1
Reino Unido,GB,2024,26,74,31218.9,1.004863619804382,31067.79804216359,1
Reino Unido,GB,2024,27,73,31486.7,1.004863619804382,31334.30186887406,1
Reino Unido,GB,2024,28,72,31736.9,1.004863619804382,31583.290880983688,1
Reino Unido,GB,2024,29,71,31997.5,1.004863619804382,31842.62955626654,1
Reino Unido,GB,2024,30,70,32245.2,1.004863619804382,32089.130668574915,1
Reino Unido,GB,2024,31,69,32536.8,1.004863619804382,32379.31930139333,1
Reino Unido,GB,2024,32,68,32738.6,1.004863619804382,32580.14257335066,1
Reino Unido,GB,2024,33,67,32816.9,1.004863619804382,32658.063595125976,1
Reino Unido,GB,2024,34,66,32894.0,1.004863619804382,32734.79042499669,1
Reino Unido,GB,2024,35,65,33006.2,1.004863619804382,32846.447368077024,1
Reino Unido,GB,2024,36,64,33345.3,1.004863619804382,33183.906097119296,1
Reino Unido,GB,2024,37,63,33750.2,1.004863619804382,33586.8463489306,1
Reino Unido,GB,2024,38,62,34074.1,1.004863619804382,33909.17864718124,1
Reino Unido,GB,2024,39,61,34491.5,1.004863619804382,34324.55839799882,1
Reino Unido,GB,2024,40,60,34824.5,1.004863619804382,34655.94665152603,1
Reino Unido,GB,2024,41,59,35126.8,1.004863619804382,34956.78349549382,1
Reino Unido,GB,2024,42,58,35374.2,1.004863619804382,35202.98605982604,1
Reino Unido,GB,2024,43,57,35440.2,1.004863619804382,35268.66661457918,1
Reino Unido,GB,2024,44,56,35647.7,1.004863619804382,35475.16229808337,1
Reino Unido,GB,2024,45,55,35842.1,1.004863619804382,35668.62138662898,1
Reino Unido,GB,2024,46,54,36247.0,1.004863619804382,36071.56163844029,1
